,x,y
136,-0.028963987252655903,-0.15102578588873136
137,-0.029127245533490907,-0.1521969591662246
138,-0.02929287883804494,-0.15336387214749167
139,-0.029462351398494555,-0.1545175262670519
140,-0.02963746139546925,-0.15566385755385898
141,-0.029820176132694283,-0.15680858235188397
142,-0.030012691056102415,-0.15795736881043448
143,-0.030212721092842006,-0.1591036239668041
144,-0.03041820662346136,-0.160240678919221
145,-0.030628302679958915,-0.16137492999414238
146,-0.03084230261010946,-0.16251268940170058
147,-0.031056090677313974,-0.16364644236004722
148,-0.03126554478908505,-0.16476855389385758
149,-0.031466412834272275,-0.16587103978507087
150,-0.031658938210474295,-0.16696065940663382
151,-0.03184311403522019,-0.16804378614340373
152,-0.03201852846958927,-0.16912173828980795
153,-0.03218450683294955,-0.1701956789025628
154,-0.032340091362538785,-0.17126665069237518
155,-0.03248554831055691,-0.17233272120849966
156,-0.03262084010175674,-0.17339181096198014
157,-0.03274818515462953,-0.1744431170194196
158,-0.03286956348551672,-0.17548560293653984
159,-0.03298798156564002,-0.17651891465816028
160,-0.0331063570586982,-0.17754242290323544
161,-0.03322760635077811,-0.1785552042864235
162,-0.03335475347556055,-0.17956368543627396
163,-0.03349099940170742,-0.18057416397433626
164,-0.0336371240771958,-0.181580981746882
165,-0.033794203812483034,-0.18257837077721734
166,-0.03396364356982041,-0.18356028022638207
167,-0.03414597078833423,-0.18453420169084292
168,-0.034342099530986096,-0.18550738712752549
169,-0.034548034237880276,-0.18647696726063354
170,-0.034760073528048295,-0.18743996465526366
171,-0.03497656092688797,-0.1884022706928265
172,-0.03519597340305729,-0.18936975601402067
173,-0.03541687567753409,-0.19034844663805373
174,-0.035636015396377396,-0.19133165619287426
175,-0.0358500873289772,-0.19231283387435444
176,-0.03605992832670728,-0.19329605808166692
177,-0.0362662483128953,-0.1942854686097593
178,-0.036469651580522684,-0.19528539084320254
179,-0.03667050045110794,-0.19629516336803424
180,-0.0368690806142583,-0.19731442027903356
181,-0.03706653208325173,-0.19834107779741636
182,-0.03726396101054146,-0.19937327416261996
183,-0.03746277737759904,-0.20040932505869688
