LF_sup_y,LM_sup_y,LH_sup_y,RF_sup_y,RM_sup_y,RH_sup_y,LF_CTr_x,LM_CTr_x,LH_CTr_x,RF_CTr_x,RM_CTr_x,RH_CTr_x,LF_ThC_z,LM_ThC_z,LH_ThC_z,RF_ThC_z,RM_ThC_z,RH_ThC_z,LF_FTi_x,LM_FTi_x,LH_FTi_x,RF_FTi_x,RM_FTi_x,RH_FTi_x
8.92422947,3.387889654,-2.202602199,-1.71358883,-1.977794106,1.500405548,-4.954158498,6.9932816,-11.95445567,-2.468609912,13.37557117,-7.102522308,34.29007288,1.714099827,-1.269458312,-1.490303128,11.1147485,-7.660026821,-1.813311624,1.729148805,-0.575087048,-0.023408754,3.648847529,-0.083661361
5.242777199,3.081858428,-2.973655338,-1.128284041,-1.835721898,0.11736722,-5.417255778,5.907742888,-5.960841185,-2.331538327,11.95501989,-7.168793703,13.30626414,1.857475438,6.239117112,6.4782545,9.928623623,-11.8068635,-2.969789502,1.533930927,-0.285210102,0.465638498,3.013579197,-0.82379747
0.109250021,2.109672908,-3.033527914,1.063924901,-2.061522604,-0.409946518,-3.35232354,2.358620305,-2.270154966,0.646111381,9.582124599,-6.126057299,-8.497545101,3.798075161,8.815284499,8.128449032,11.46097441,-11.75889997,-3.025980779,1.019179774,-0.511746771,1.507856827,2.562349727,-1.489286062
-3.240905599,0.842903794,-2.319416275,3.47590898,-2.518925752,0.122090256,-0.145163674,-1.824191395,-2.078370112,4.546625594,7.118391574,-4.460091273,-17.76194784,6.052970016,5.210317847,2.884938283,14.337316,-7.657635028,-1.933367204,0.455775396,-0.820703422,2.405721938,2.443146511,-1.606836884
-2.920177524,-0.08888091,-1.231225578,4.602682898,-2.886575389,1.265353627,2.317437862,-4.345078153,-4.509976344,6.90543445,5.454794055,-3.060002162,-9.371061239,7.009489279,-1.746091263,-5.813267227,16.43561215,-2.121779675,-0.373233762,0.157679261,-0.787271882,2.573899742,2.567350069,-1.090643513
0.559611634,-0.195138546,-0.30408954,3.713042067,-2.863507779,2.124932364,2.579021426,-3.855837723,-7.18496746,6.231620442,5.022347724,-2.498024468,10.35266755,5.947586599,-7.256865523,-12.85978785,16.22276172,1.347790413,0.694434559,0.289393298,-0.296469122,1.926218946,2.696775964,-0.281506848
4.771550959,0.512224152,0.005414796,1.389402374,-2.413889154,2.018181118,0.619400801,-0.851437402,-7.890338875,3.056763539,5.511785089,-2.773768267,28.12820245,3.450647319,-7.697749148,-14.50309312,13.76291136,0.629707952,0.633237169,0.761199281,0.396946392,0.914152541,2.611782669,0.290015695
6.890203071,1.478773632,-0.414486535,-0.807642074,-1.841435962,0.943229273,-2.072122837,2.556975625,-5.917355116,-0.410712975,6.078182194,-3.415996093,32.2114024,1.028202975,-2.774276425,-10.4166884,10.62702569,-3.632995734,-0.464474238,1.272914362,0.88370268,0.211434171,2.264227607,0.257476158
5.407066276,1.976633158,-1.185084236,-1.424587788,-1.563075788,-0.515497534,-3.628492611,3.990271332,-2.276882887,-1.830149439,5.948445246,-3.709920679,19.40280412,0.189127483,4.391393997,-3.755972497,8.713457289,-8.534901777,-1.801253717,1.49611563,0.898624704,0.278745101,1.821322529,-0.334395247
-6.59098046,9.28824748,41.84458874,7.898190023,-1.634079776,3.076036683,14.72282007,17.69067182,-8.138083336,12.74847103,7.857792826,-4.71861033,-8.585405161,5.275628269,50.77309154,2.907457096,11.4432776,-1.826111937,-0.231212332,2.906911864,84.56126783,0.530167633,2.100442052,-0.803909036
-10.43192054,7.226923775,33.91914837,9.558750141,-2.23895268,3.004059016,15.67709846,11.89361915,-6.696063997,15.09192975,5.724569118,-4.178523334,-27.10438867,7.324399907,45.19267432,2.361570944,12.96306182,-0.889404011,0.314688133,2.230403747,70.17423668,1.672694223,2.017841551,-1.261808544
-11.78393291,5.478996795,27.33693216,11.10995769,-2.87746982,4.828153023,17.16610586,6.735874596,-6.820848232,17.72129799,3.581946028,-4.263114465,-30.43395927,9.79090758,35.32725252,-2.490779481,14.92896082,4.632038741,1.722055894,1.544688452,67.50396458,2.383670051,2.098722218,-1.303262286
-9.264993192,4.09219896,21.24537198,10.51237153,-3.106526386,6.897778109,16.48950318,3.343349942,-6.951351232,17.34252559,2.215164332,-4.80439997,-16.97921255,10.52346519,22.69764327,-9.191287035,15.42628879,10.24769494,2.88958934,1.053234916,67.5893358,2.316449194,2.144416656,-0.951891441
-3.962806255,3.05430756,14.99543178,7.244339102,-2.755683269,7.572921614,12.36218253,2.038913873,-5.348705168,12.81310251,1.842002835,-5.342057784,4.265109723,8.676021842,10.86147779,-14.35698288,13.65214579,11.82646486,2.902161903,0.849433869,62.71901201,1.626331125,1.969801291,-0.514294871
