L1.Sup,L2.Sup,L3.Sup,R1.Sup,R2.Sup,R3.Sup,L1.CTr,L2.CTr,L3.CTr,R1.CTr,R2.CTr,R3.CTr,L1.ThC,L2.ThC,L3.ThC,R1.ThC,R2.ThC,R3.ThC,L1.FTi,L2.FTi,L3.FTi,R1.FTi,R2.FTi,R3.FTi
6.733117099,-8.618427931,7.660689551,10.86298582,8.760211095,7.073921862,-2.86139826,-1.98816452,40.90559335,10.23500758,14.25989684,28.36587923,32.10557987,-20.74272615,-24.29364429,43.47684875,-13.82590547,-33.61580606,124.5087004,111.6212839,79.28307406,78.37787509,129.2923601,78.36333042
6.467096128,-8.416068269,8.59859253,10.84150848,9.642628925,7.015807599,-2.68857083,-2.10062837,40.74682165,10.14934726,13.42285096,28.21229029,32.01704385,-21.05754474,-23.03389223,43.02967642,-12.68393666,-33.85141935,124.2138348,112.2345363,77.45956699,77.8348352,128.448748,78.59263176
6.149916312,-8.297809414,9.485140179,10.84326111,10.46468788,6.889317816,-2.4829692,-2.20820584,40.34600519,10.03693317,12.47030202,28.07766191,31.93560325,-21.37287819,-21.85908502,42.56737779,-11.60989459,-34.11568435,123.9461661,112.8818002,75.85947945,77.27450894,127.6133691,78.80799004
5.865745877,-8.322691182,10.3194496,10.88675206,11.20888844,6.696734606,-2.24055359,-2.32037902,39.65307089,9.95820569,11.45141741,27.97288545,31.78392997,-21.69588233,-20.77227013,42.19385268,-10.57869857,-34.39376407,123.6953757,113.5534312,74.4682795,76.70671909,126.766402,79.0196971
5.682606166,-8.553441739,11.11505083,10.98304973,11.87514969,6.455385326,-1.96508111,-2.4499526,38.62465198,9.95200543,10.42077398,27.89804088,31.53500878,-22.0328665,-19.78877587,41.95335054,-9.553717184,-34.66947695,123.4535198,114.2414173,73.26466265,76.14491524,125.8750853,79.24060319
5.634667519,-9.035080529,11.88597478,11.13206118,12.48748715,6.193631429,-1.66611101,-2.60900861,37.23428514,10.02686778,9.42755646,27.8441586,31.21882224,-22.38788973,-18.93881521,41.8193949,-8.49888313,-34.93122285,123.2144201,114.9447094,72.22821575,75.60447617,124.9024805,79.48174026
5.71668835,-9.769724711,12.63108958,11.32373761,13.08985417,5.943236854,-1.35462988,-2.80449591,35.48467678,10.16494766,8.50549974,27.79902548,30.90370273,-22.76128724,-18.26162989,41.71466014,-7.391468108,-35.17552429,122.9719795,115.6700436,71.34623712,75.09897377,123.8202573,79.74792255
5.889584436,-10.69975742,13.3243218,11.54220354,13.73072887,5.72997378,-1.03931676,-3.03330591,33.42186508,10.33296162,7.66506845,27.75347674,30.66172772,-23.14901652,-17.79144139,41.55047461,-6.230390398,-35.40705133,122.7196387,116.426338,70.61730173,74.63527666,122.6222139,80.03499603
6.093932801,-11.71100368,13.91745464,11.76898501,14.44273458,5.565303767,-0.72642733,-3.27807373,31.14730205,10.49353515,6.89025437,27.70513584,30.53215372,-23.54348829,-17.54037966,41.26947784,-5.036929094,-35.6355603,122.4520577,117.2151609,70.05006104,74.21059759,121.3312738,80.32915103
6.267670803,-12.6601297,14.35656223,11.98324275,15.22776072,5.442638257,-0.42359836,-3.50773473,28.81860259,10.61398622,6.14287817,27.65860628,30.49670087,-23.93568172,-17.487481,40.87572863,-3.848115858,-35.87150612,122.1679843,118.0235752,69.65690704,73.81383655,119.9943195,80.60851024
